City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,fortaleza,-3.7227,-38.5247,28.45,94,75,0.51,BR,1707605421
255,arteche,12.2645,125.4048,24.43,88,64,5.65,PH,1707605503
256,zhangye,38.9342,100.4517,-2.55,37,12,0.84,CN,1707605504
257,mitu,1.1983,-70.1733,25.9,83,98,1.09,CO,1707605504
258,deniliquin,-35.5333,144.9667,25.47,43,0,5.52,AU,1707605387
259,leh,34.1667,77.5833,-16.52,49,0,0.85,IN,1707605505
260,fort bragg,35.139,-79.006,21.91,61,100,5.66,US,1707605505
261,igarka,67.4667,86.5833,-17.74,84,100,3.29,RU,1707605505
262,mimizan,44.2006,-1.2289,11.05,85,84,10.64,FR,1707605506
263,sandnessjoen,66.0217,12.6316,-18.71,73,5,7.58,NO,1707605506
264,colares,38.7992,-9.4469,12.16,79,39,3.13,PT,1707605506
265,prince george,53.9166,-122.753,0.7,85,100,7.72,CA,1707605506
266,ahlat,38.7518,42.4814,-0.59,89,10,1.33,TR,1707605507
267,saipan,15.1355,145.701,27.39,74,40,7.2,MP,1707605423
268,wynyard,-41.0,145.7167,15.71,74,100,5.09,AU,1707605508
269,vilyuysk,63.7553,121.6247,-29.38,96,100,3.95,RU,1707605508
270,nova sintra,14.8667,-24.7167,20.85,70,0,7.55,CV,1707605508
271,filey,54.21,-0.2892,7.66,94,100,0.45,GB,1707605422
272,lamar,33.6668,-95.5836,11.95,91,100,3.6,US,1707605509
273,kostomuksha,64.571,30.5767,-12.76,97,100,0.45,RU,1707605509
274,ust-nera,64.5667,143.2,-35.87,100,100,1.15,RU,1707605509
275,okhotsk,59.3833,143.3,-28.92,82,68,3.52,RU,1707605510
276,lethem,3.3803,-59.7968,32.23,44,59,5.25,GY,1707605510
277,ustrzyki dolne,49.4304,22.5938,9.8,74,100,6.93,PL,1707605510
278,rodolfo sanchez taboada,31.7167,-116.5667,16.17,64,16,2.24,MX,1707605511
279,isla mujeres,21.2311,-86.731,27.87,72,14,6.85,MX,1707605511
280,rundu,-17.9333,19.7667,23.14,66,43,1.55,NA,1707605511
281,sao filipe,14.8961,-24.4956,24.52,63,0,3.21,CV,1707605511
282,stephenville,32.2207,-98.2023,14.53,94,100,4.12,US,1707605512
283,port lincoln,-34.7333,135.8667,19.93,68,33,3.54,AU,1707605512
284,al ghayzah,16.2079,52.176,22.7,75,13,3.06,YE,1707605512
285,pangoa,-12.1167,-73.0,26.42,76,73,1.31,PE,1707605512
286,igoumenitsa,39.5039,20.2656,16.81,68,100,7.74,GR,1707605513
287,westport,41.1415,-73.3579,14.75,69,92,1.79,US,1707605513
288,san luis,-33.295,-66.3356,27.51,52,73,5.62,AR,1707605513
289,tannum sands,-23.9504,151.3693,29.86,65,40,5.66,AU,1707605513
290,buka,40.8108,69.1986,10.5,35,93,2.29,UZ,1707605514
291,nar'yan-mar,67.6713,53.087,-27.16,100,45,3.13,RU,1707605514
292,jumla,29.2747,82.1838,0.53,42,0,2.11,NP,1707605514
293,lycksele,64.5954,18.6735,-32.07,75,96,0.0,SE,1707605515
294,grabouw,-34.1515,19.0151,17.47,80,1,4.26,ZA,1707605515
295,tromso,69.6496,18.957,-3.99,80,40,6.17,NO,1707605515
296,vetluzhskiy,58.3902,45.4654,-26.09,100,98,1.79,RU,1707605515
297,akjoujt,19.6969,-14.4164,25.25,18,40,4.84,MR,1707605516
298,ha'il,27.5219,41.6907,13.01,71,0,6.17,SA,1707605516
299,estreito,-5.7833,-43.25,23.08,95,100,0.86,BR,1707605516
300,tazovsky,67.4667,78.7,-20.69,97,98,4.56,RU,1707605517
301,antsiranana,-12.2787,49.2917,24.78,91,100,3.32,MG,1707605517
302,fort st. john,56.2499,-120.8529,3.94,56,40,11.83,CA,1707605518
303,ibiza,38.9088,1.433,14.01,62,0,8.23,ES,1707605518
304,kralendijk,12.15,-68.2667,26.99,83,40,7.72,BQ,1707605518
305,yanam,16.7333,82.2167,21.56,87,51,1.83,IN,1707605518
306,sorsk,54.0033,90.2467,-7.15,83,100,6.97,RU,1707605519
